,Neighborhood,Id,Name_of_resturant
38,West Ridge,4aa1e192f964a520aa4120e3,Udupi Palace
39,West Ridge,4bd492ce7b1876b09c518986,Tiffin Indian Kitchen
40,West Ridge,4b37dedaf964a520c64725e3,Tahoora
41,West Ridge,5062656be4b0b51b64824638,Clifton Grill
42,West Ridge,4b63a9f5f964a520ad8a2ae3,Khan B.B.Q.
43,West Ridge,4abc1f19f964a520778620e3,Hema's Kitchen
44,West Ridge,4f5e3fbae4b026f4c7e564ca,Pak Sweets
45,West Ridge,4a533e3ef964a52025b21fe3,Mysore Woodlands
46,West Ridge,4a426e47f964a520daa51fe3,Uru-Swati
47,West Ridge,4b09dd0cf964a520d71e23e3,Sukhadia's
48,West Ridge,4c25698b905a0f4739946160,Delhi Darbar Kabab House
49,West Ridge,4b78a5c9f964a520dedb2ee3,Arya Bhavan
50,West Ridge,4fdd0058e4b0ec5a8f166067,Serena Restaurant
51,West Ridge,4b7ca895f964a520cd9f2fe3,JK Kabob House
52,West Ridge,4bf999945efe2d7f71856c34,Punjabi Dhaba
53,West Ridge,4c38f25f1e06d13a88bf783e,Annapurna
54,West Ridge,4b8f2688f964a5204a4b33e3,India Garden
